id,word,answer,choices,sentence_with_blank,meaning_jp,sentence_jp
111,made up of,made up of,in the habit of|given in to|made up of|with regard to,"Paul’s family is ________ five people. They are Paul, his mother, his father, and his two sisters.",構成される,ポールの家族は5人で構成されています。ポール、彼の母、父、そして2人の姉妹です。
112,All of a sudden,All of a sudden,Up to date|In the old days|All of a sudden|For the moment,"Frank was walking happily home after school. ________, he remembered that he had left his smartphone in his desk, so he ran back to get it.",突然,フランクは学校の後、幸せに家に歩いていました。突然、彼はスマートフォンを机に忘れたことを思い出し、取りに戻りました。
113,on the point,on the point,at the sight|in the way|by the end|on the point,Grant was ________ of going to the airport to meet Alice when he got a phone call from her. She told him that her flight had been canceled.,まさに～するところ,グラントはアリスを迎えに空港に行くまさにその時に、彼女から電話をもらいました。彼女はフライトがキャンセルされたと言いました。
114,out of the question,out of the question,by any chance|out of the question|at any cost|for the most part,"Heather wanted to go camping with her friends last weekend. However, it was ________ because she had an important test on Monday, and she needed to study.",問題外,ヘザーは先週末、友達とキャンプに行きたかったけど、月曜日に重要なテストがあって勉強が必要だったので、それは問題外でした。
115,do him good,do him good,take him seriously|do him good|see him off|call him up,Barry’s mother told Barry that it was not healthy to spend so long indoors. She said that it would ________ to go outside and get some fresh air.,良い影響を与える,バリーの母は、バリーに長時間室内にいるのは健康的でないと言いました。外に出て新鮮な空気を吸うと良い影響があるよ、と言いました。
116,figure out,figure out,apply for|turn over|figure out|stand by,Sally enjoys doing math problems in her free time. She has fun trying to ________ what the answers are.,解き明かす,サリーは自由時間に数学の問題を解くのが好きです。彼女は答えを解き明かすのを楽しんでいます。
117,put off,put off,carry on|give away|sit up|put off,"Jane and Tim were planning to go on a date last Friday, but Jane was not feeling well. They decided to ________ their date until next week.",延期する,ジェーンとティムは先週の金曜日にデートする予定だったけど、ジェーンが体調を崩したので、デートを来週に延期することにしました。
118,needn’t,needn’t,won’t|couldn’t|needn’t|didn’t,"A : Do you want me to finish all this work today? 
B : No, you ________ rush. There are still a few days before it has to be ready.",急ぐ必要はない,"A: この仕事、今日全部終わらせてほしい？ 
B: いいえ、急ぐ必要はないよ。まだ準備が整うまで数日あるから。"
119,to avoid,to avoid,avoid|avoiding|to avoid|be avoiding,Some people hold a small umbrella in summer so as ________ getting sunburn.,避けるために,夏に日焼けを避けるために、小さな傘を持つ人がいます。
120,making,making,made|making|make|makes,"Only a few of Sarah’s friends were coming to her party, so Sarah did not think it was worth ________ a very big cake.",作ること,サラのパーティーに来る友達が少なかったので、サラはとても大きなケーキを作る価値はないと思いました。
